Time,Time Code,Country,Country Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]"
2005Q1,2005Q1,Poland,POL,96635.881242245
2005Q1,2005Q1,South Africa,ZAF,74836.7540556664
2005Q1,2005Q1,Korea Rep.,KOR,226366.878309373
2005Q1,2005Q1,Turkey,TUR,155435.150335494
2005Q2,2005Q2,Argentina,ARG,79114.9277025286
2005Q2,2005Q2,Brazil,BRA,421772.904186326
2005Q2,2005Q2,China,CHN,841430.632007647
2005Q2,2005Q2,India,IND,255195.575436636
2005Q2,2005Q2,Indonesia,IDN,133904.435821473
2005Q2,2005Q2,Mexico,MEX,237762.580550533
2005Q2,2005Q2,Poland,POL,96829.1479205723
2005Q2,2005Q2,South Africa,ZAF,76179.7786433169
2005Q2,2005Q2,Korea Rep.,KOR,230638.563601304
2005Q2,2005Q2,Turkey,TUR,156086.780927426
2005Q3,2005Q3,Argentina,ARG,79670.6219968095
2005Q3,2005Q3,Brazil,BRA,418197.648890796
2005Q3,2005Q3,China,CHN,867328.651896039
2005Q3,2005Q3,India,IND,259334.871237292
2005Q3,2005Q3,Indonesia,IDN,135329.088221121
2005Q3,2005Q3,Mexico,MEX,239981.234564682
2005Q3,2005Q3,Poland,POL,98668.8914253391
2005Q3,2005Q3,South Africa,ZAF,77218.6610138703
2005Q3,2005Q3,Korea Rep.,KOR,234110.437153266
2005Q3,2005Q3,Turkey,TUR,157685.924936419
2005Q4,2005Q4,Argentina,ARG,81237.5521506386
2005Q4,2005Q4,Brazil,BRA,422111.203937661
2005Q4,2005Q4,China,CHN,897120.73658435
2005Q4,2005Q4,India,IND,265273.060221995
2005Q4,2005Q4,Indonesia,IDN,137378.184181389
2005Q4,2005Q4,Mexico,MEX,243768.571101589
2005Q4,2005Q4,Poland,POL,100543.605687045
2005Q4,2005Q4,South Africa,ZAF,77735.6379338485
2005Q4,2005Q4,Korea Rep.,KOR,236480.72260795
2005Q4,2005Q4,Turkey,TUR,162982.77100471
2006Q1,2006Q1,Argentina,ARG,83355.6358719143
2006Q1,2006Q1,Brazil,BRA,429357.843419811
2006Q1,2006Q1,China,CHN,927718.782663923
2006Q1,2006Q1,India,IND,272932.455065139
2006Q1,2006Q1,Indonesia,IDN,139239.75214078
2006Q1,2006Q1,Mexico,MEX,248021.61241912
2006Q1,2006Q1,Poland,POL,102051.745344337
2006Q1,2006Q1,South Africa,ZAF,79101.3597018793
2006Q1,2006Q1,Korea Rep.,KOR,240356.91866099
2006Q1,2006Q1,Turkey,TUR,166346.960944781
2006Q2,2006Q2,Argentina,ARG,84362.8535008701
2006Q2,2006Q2,Brazil,BRA,431282.269874127
2006Q2,2006Q2,China,CHN,952274.778937039
2006Q2,2006Q2,India,IND,274583.646420254
2006Q2,2006Q2,Indonesia,IDN,140627.305288974
2006Q2,2006Q2,Mexico,MEX,250514.389045693
2006Q2,2006Q2,Poland,POL,104398.942701263
2006Q2,2006Q2,South Africa,ZAF,80224.8052816213
2006Q2,2006Q2,Korea Rep.,KOR,242112.971184046
2006Q2,2006Q2,Turkey,TUR,170961.391182134
2006Q3,2006Q3,Argentina,ARG,86724.104808594
2006Q3,2006Q3,Brazil,BRA,437173.861718415
2006Q3,2006Q3,China,CHN,975817.274574323
2006Q3,2006Q3,India,IND,285086.205560044
2006Q3,2006Q3,Indonesia,IDN,142987.297032223
2006Q3,2006Q3,Mexico,MEX,251290.931753395
2006Q3,2006Q3,Poland,POL,106173.72579211
2006Q3,2006Q3,South Africa,ZAF,81332.8167787047
2006Q3,2006Q3,Korea Rep.,KOR,246020.565469047
2006Q3,2006Q3,Turkey,TUR,168004.256827638
2006Q4,2006Q4,Argentina,ARG,88606.7958558544
2006Q4,2006Q4,Brazil,BRA,442361.12457222
2006Q4,2006Q4,China,CHN,1010891.45397461
2006Q4,2006Q4,India,IND,291320.565484837
2006Q4,2006Q4,Indonesia,IDN,145551.960301835
2006Q4,2006Q4,Mexico,MEX,251811.8475335
2006Q4,2006Q4,Poland,POL,104687.296860147
2006Q4,2006Q4,South Africa,ZAF,82457.4296420091
